graph_id,n,h,beta,K,variant,log_Z
n16_graph1,16,0.0,0.5,3,asym,14.098590
n16_graph1,16,0.0,0.5,3,exact,14.349563
n16_graph1,16,0.0,0.5,4,asym,14.187780
n16_graph1,16,0.0,0.5,4,exact,14.527944
n16_graph1,16,0.0,0.5,5,asym,14.254518
n16_graph1,16,0.0,0.5,5,exact,14.653078
n16_graph1,16,0.0,0.5,6,asym,14.306208
n16_graph1,16,0.0,0.5,6,exact,14.704768
n16_graph1,16,0.0,0.8,3,asym,18.410858
n16_graph1,16,0.0,0.8,3,exact,19.095693
n16_graph1,16,0.0,0.8,4,asym,18.766200
n16_graph1,16,0.0,0.8,4,exact,19.806377
n16_graph1,16,0.0,0.8,5,asym,19.154776
n16_graph1,16,0.0,0.8,5,exact,20.534957
n16_graph1,16,0.0,0.8,6,asym,19.593475
n16_graph1,16,0.0,0.8,6,exact,20.973656
n16_graph1,16,0.0,1,3,asym,21.988900
n16_graph1,16,0.0,1,3,exact,22.964509
n16_graph1,16,0.0,1,4,asym,22.568903
n16_graph1,16,0.0,1,4,exact,24.124516
n16_graph1,16,0.0,1,5,asym,23.298854
n16_graph1,16,0.0,1,5,exact,25.493173
n16_graph1,16,0.0,1,6,asym,24.249582
n16_graph1,16,0.0,1,6,exact,26.443902
n16_graph1,16,0.0,1.3,3,asym,28.033798
n16_graph1,16,0.0,1.3,3,exact,29.352805
n16_graph1,16,0.0,1.3,4,asym,28.912121
n16_graph1,16,0.0,1.3,4,exact,31.109450
n16_graph1,16,0.0,1.3,5,asym,30.156171
n16_graph1,16,0.0,1.3,5,exact,33.442044
n16_graph1,16,0.0,1.3,6,asym,31.986589
n16_graph1,16,0.0,1.3,6,exact,35.272462
n16_graph1,16,0.0,1.8,3,asym,39.121144
n16_graph1,16,0.0,1.8,3,exact,40.759845
n16_graph1,16,0.0,1.8,4,asym,40.300721
n16_graph1,16,0.0,1.8,4,exact,43.119001
n16_graph1,16,0.0,1.8,5,asym,42.111290
n16_graph1,16,0.0,1.8,5,exact,46.513817
n16_graph1,16,0.0,1.8,6,asym,45.004887
n16_graph1,16,0.0,1.8,6,exact,49.407414
n16_graph1,16,0.0,2.5,3,asym,55.513507
n16_graph1,16,0.0,2.5,3,exact,57.308540
n16_graph1,16,0.0,2.5,4,asym,56.846624
n16_graph1,16,0.0,2.5,4,exact,59.974773
n16_graph1,16,0.0,2.5,5,asym,58.958702
n16_graph1,16,0.0,2.5,5,exact,63.934919
n16_graph1,16,0.0,2.5,6,asym,62.444226
n16_graph1,16,0.0,2.5,6,exact,67.420444
n16_graph1,16,0.0,5,3,asym,115.379927
n16_graph1,16,0.0,5,3,exact,117.227956
n16_graph1,16,0.0,5,4,asym,116.765858
n16_graph1,16,0.0,5,4,exact,119.999818
n16_graph1,16,0.0,5,5,asym,118.983203
n16_graph1,16,0.0,5,5,exact,124.157340
n16_graph1,16,0.0,5,6,asym,122.678535
n16_graph1,16,0.0,5,6,exact,127.852672
n16_graph2,16,0.0,0.1,3,asym,11.211475
n16_graph2,16,0.0,0.1,3,exact,11.212135
n16_graph2,16,0.0,0.1,4,asym,11.211672
n16_graph2,16,0.0,0.1,4,exact,11.212431
n16_graph2,16,0.0,0.1,5,asym,11.211704
n16_graph2,16,0.0,0.1,5,exact,11.212450
n16_graph2,16,0.0,0.1,6,asym,11.211709
n16_graph2,16,0.0,0.1,6,exact,11.212456
n16_graph2,16,0.0,0.2,3,asym,11.577402
n16_graph2,16,0.0,0.2,3,exact,11.582508
n16_graph2,16,0.0,0.2,4,asym,11.580435
n16_graph2,16,0.0,0.2,4,exact,11.587058
n16_graph2,16,0.0,0.2,5,asym,11.581393
n16_graph2,16,0.0,0.2,5,exact,11.587657
n16_graph2,16,0.0,0.2,6,asym,11.581708
n16_graph2,16,0.0,0.2,6,exact,11.587972
n16_graph2,16,0.0,0.3,3,asym,12.187095
n16_graph2,16,0.0,0.3,3,exact,12.203375
n16_graph2,16,0.0,0.3,4,asym,12.201447
n16_graph2,16,0.0,0.3,4,exact,12.224903
n16_graph2,16,0.0,0.3,5,asym,12.208153
n16_graph2,16,0.0,0.3,5,exact,12.229095
n16_graph2,16,0.0,0.3,6,asym,12.211412
n16_graph2,16,0.0,0.3,6,exact,12.232353
n16_graph2,16,0.0,0.5,3,asym,14.098590
n16_graph2,16,0.0,0.5,3,exact,14.161333
n16_graph2,16,0.0,0.5,4,asym,14.187780
n16_graph2,16,0.0,0.5,4,exact,14.295119
n16_graph2,16,0.0,0.5,5,asym,14.254518
n16_graph2,16,0.0,0.5,5,exact,14.336830
n16_graph2,16,0.0,0.5,6,asym,14.306208
n16_graph2,16,0.0,0.5,6,exact,14.388520
n16_graph2,16,0.0,0.8,3,asym,18.410858
n16_graph2,16,0.0,0.8,3,exact,18.582067
n16_graph2,16,0.0,0.8,4,asym,18.766200
n16_graph2,16,0.0,0.8,4,exact,19.115080
n16_graph2,16,0.0,0.8,5,asym,19.154776
n16_graph2,16,0.0,0.8,5,exact,19.357940
n16_graph2,16,0.0,0.8,6,asym,19.593475
n16_graph2,16,0.0,0.8,6,exact,19.796639
n16_graph2,16,0.0,1,3,asym,21.988900
