graph_id,n,h,beta,exact_E
n16_graph2,16,0.1,1.3,-25.49835983
n16_graph2,16,0.1,1.8,-25.587406
n16_graph2,16,0.1,2.5,-25.59887681
n16_graph2,16,0.1,5.0,-25.59999964
n16_graph2,16,0.2,0.1,-2.566623054
n16_graph2,16,0.2,0.2,-5.422477658
n16_graph2,16,0.2,0.3,-8.806196112
n16_graph2,16,0.2,0.5,-18.06961534
n16_graph2,16,0.2,0.8,-26.07919143
n16_graph2,16,0.2,1.0,-26.93366345
n16_graph2,16,0.2,1.3,-27.16496709
n16_graph2,16,0.2,1.8,-27.19861026
n16_graph2,16,0.2,2.5,-27.19998278
n16_graph2,16,0.2,5.0,-27.2
n16_graph2,16,0.5,0.1,-3.103235417
n16_graph2,16,0.5,0.2,-7.185828635
n16_graph2,16,0.5,0.3,-12.99974943
n16_graph2,16,0.5,0.5,-26.16655092
n16_graph2,16,0.5,0.8,-31.45854936
n16_graph2,16,0.5,1.0,-31.8803707
n16_graph2,16,0.5,1.3,-31.98651504
n16_graph2,16,0.5,1.8,-31.99961245
n16_graph2,16,0.5,2.5,-31.99999716
n16_graph2,16,0.5,5.0,-32
n16_graph2,16,1.0,0.1,-5.003576959
n16_graph2,16,1.0,0.2,-13.00366366
n16_graph2,16,1.0,0.3,-23.73940203
n16_graph2,16,1.0,0.5,-36.84811429
n16_graph2,16,1.0,0.8,-39.76480517
n16_graph2,16,1.0,1.0,-39.95504349
n16_graph2,16,1.0,1.3,-39.99605002
n16_graph2,16,1.0,1.8,-39.99992852
n16_graph2,16,1.0,2.5,-39.99999974
n16_graph2,16,1.0,5.0,-40
n16_graph3,16,0.0,0.1,-2.468683591
n16_graph3,16,0.0,0.2,-5.111527718
n16_graph3,16,0.0,0.3,-7.98708812
n16_graph3,16,0.0,0.5,-14.60682857
n16_graph3,16,0.0,0.8,-22.13941665
n16_graph3,16,0.0,1.0,-23.48920197
n16_graph3,16,0.0,1.3,-23.91747029
n16_graph3,16,0.0,1.8,-23.99438147
n16_graph3,16,0.0,2.5,-23.99978105
n16_graph3,16,0.0,5.0,-23.99999999
n16_graph3,16,0.1,0.1,-2.494295573
n16_graph3,16,0.1,0.2,-5.197374342
n16_graph3,16,0.1,0.3,-8.212321513
n16_graph3,16,0.1,0.5,-15.62306027
n16_graph3,16,0.1,0.8,-23.83111288
n16_graph3,16,0.1,1.0,-25.09474669
n16_graph3,16,0.1,1.3,-25.49794885
n16_graph3,16,0.1,1.8,-25.58740252
n16_graph3,16,0.1,2.5,-25.59887681
n16_graph3,16,0.1,5.0,-25.59999964
n16_graph3,16,0.2,0.1,-2.57110424
n16_graph3,16,0.2,0.2,-5.45399533
n16_graph3,16,0.2,0.3,-8.874720297
n16_graph3,16,0.2,0.5,-18.04229673
n16_graph3,16,0.2,0.8,-26.06165524
n16_graph3,16,0.2,1.0,-26.93137533
n16_graph3,16,0.2,1.3,-27.16487505
n16_graph3,16,0.2,1.8,-27.19860976
n16_graph3,16,0.2,2.5,-27.19998278
n16_graph3,16,0.2,5.0,-27.2
n16_graph3,16,0.5,0.1,-3.107622837
n16_graph3,16,0.5,0.2,-7.212937162
n16_graph3,16,0.5,0.3,-13.03445201
n16_graph3,16,0.5,0.5,-26.13574159
n16_graph3,16,0.5,0.8,-31.4570179
n16_graph3,16,0.5,1.0,-31.88025533
n16_graph3,16,0.5,1.3,-31.98651252
n16_graph3,16,0.5,1.8,-31.99961245
n16_graph3,16,0.5,2.5,-31.99999716
n16_graph3,16,0.5,5.0,-32
n16_graph3,16,1.0,0.1,-5.007645171
n16_graph3,16,1.0,0.2,-13.01945237
n16_graph3,16,1.0,0.3,-23.7376863
n16_graph3,16,1.0,0.5,-36.84328758
n16_graph3,16,1.0,0.8,-39.76475601
n16_graph3,16,1.0,1.0,-39.95504158
n16_graph3,16,1.0,1.3,-39.99605
n16_graph3,16,1.0,1.8,-39.99992852
n16_graph3,16,1.0,2.5,-39.99999974
n16_graph3,16,1.0,5.0,-40
