graph_id,n,h,init,dynamics,beta,step,log_Z
n16_graph0,16,0.0,ground,glauber,0.4,1,12.290355
n16_graph0,16,0.0,ground,glauber,0.4,2,12.195347
n16_graph0,16,0.0,ground,glauber,0.4,4,12.384521
n16_graph0,16,0.0,ground,glauber,0.4,7,12.790493
n16_graph0,16,0.0,ground,glauber,0.4,12,12.926348
n16_graph0,16,0.0,ground,glauber,0.4,20,12.410095
n16_graph0,16,0.0,ground,glauber,0.4,33,12.732852
n16_graph0,16,0.0,ground,glauber,0.4,54,12.892197
n16_graph0,16,0.0,ground,glauber,0.4,90,12.719550
n16_graph0,16,0.0,ground,glauber,0.4,148,12.756438
n16_graph0,16,0.0,ground,glauber,0.4,245,12.893381
n16_graph0,16,0.0,ground,glauber,0.4,404,12.994234
n16_graph0,16,0.0,ground,glauber,0.4,667,12.915986
n16_graph0,16,0.0,ground,glauber,0.4,1101,13.172891
n16_graph0,16,0.0,ground,glauber,0.4,1816,13.132770
n16_graph0,16,0.0,ground,glauber,0.4,2995,13.163244
n16_graph0,16,0.0,ground,glauber,0.4,4939,13.128212
n16_graph0,16,0.0,ground,glauber,0.4,8146,13.090591
n16_graph0,16,0.0,ground,glauber,0.4,13435,13.054134
n16_graph0,16,0.0,ground,glauber,0.4,22158,13.048051
n16_graph0,16,0.0,ground,glauber,0.4,36543,13.104878
n16_graph0,16,0.0,ground,glauber,0.4,60268,13.087845
n16_graph0,16,0.0,ground,glauber,0.4,99395,13.107556
n16_graph0,16,0.0,ground,glauber,0.4,163925,13.106865
n16_graph0,16,0.0,ground,glauber,0.4,270347,13.123201
n16_graph0,16,0.0,ground,glauber,0.4,445860,13.130708
n16_graph0,16,0.0,ground,glauber,0.4,735319,13.126903
n16_graph0,16,0.0,ground,glauber,0.4,1212699,13.123458
n16_graph0,16,0.0,ground,glauber,0.4,2000000,13.122347
n16_graph0,16,0.0,ground,glauber,0.5,1,13.490355
n16_graph0,16,0.0,ground,glauber,0.5,2,13.500338
n16_graph0,16,0.0,ground,glauber,0.5,4,13.689513
n16_graph0,16,0.0,ground,glauber,0.5,7,14.269052
n16_graph0,16,0.0,ground,glauber,0.5,12,14.457311
n16_graph0,16,0.0,ground,glauber,0.5,20,13.890712
n16_graph0,16,0.0,ground,glauber,0.5,33,14.137274
n16_graph0,16,0.0,ground,glauber,0.5,54,14.098532
n16_graph0,16,0.0,ground,glauber,0.5,90,13.740718
n16_graph0,16,0.0,ground,glauber,0.5,148,13.885488
n16_graph0,16,0.0,ground,glauber,0.5,245,13.934042
n16_graph0,16,0.0,ground,glauber,0.5,404,13.963339
n16_graph0,16,0.0,ground,glauber,0.5,667,13.852912
n16_graph0,16,0.0,ground,glauber,0.5,1101,14.137667
n16_graph0,16,0.0,ground,glauber,0.5,1816,14.254175
n16_graph0,16,0.0,ground,glauber,0.5,2995,14.406943
n16_graph0,16,0.0,ground,glauber,0.5,4939,14.418786
n16_graph0,16,0.0,ground,glauber,0.5,8146,14.382401
n16_graph0,16,0.0,ground,glauber,0.5,13435,14.299704
n16_graph0,16,0.0,ground,glauber,0.5,22158,14.289884
n16_graph0,16,0.0,ground,glauber,0.5,36543,14.368804
n16_graph0,16,0.0,ground,glauber,0.5,60268,14.359670
n16_graph0,16,0.0,ground,glauber,0.5,99395,14.363967
n16_graph0,16,0.0,ground,glauber,0.5,163925,14.373532
n16_graph0,16,0.0,ground,glauber,0.5,270347,14.384525
n16_graph0,16,0.0,ground,glauber,0.5,445860,14.393051
n16_graph0,16,0.0,ground,glauber,0.5,735319,14.390780
n16_graph0,16,0.0,ground,glauber,0.5,1212699,14.378116
n16_graph0,16,0.0,ground,glauber,0.5,2000000,14.379149
n16_graph0,16,0.0,ground,glauber,0.6,1,13.890355
n16_graph0,16,0.0,ground,glauber,0.6,2,13.900338
n16_graph0,16,0.0,ground,glauber,0.6,4,14.089513
n16_graph0,16,0.0,ground,glauber,0.6,7,14.970886
n16_graph0,16,0.0,ground,glauber,0.6,12,15.357440
n16_graph0,16,0.0,ground,glauber,0.6,20,14.831994
n16_graph0,16,0.0,ground,glauber,0.6,33,15.185034
n16_graph0,16,0.0,ground,glauber,0.6,54,15.103049
n16_graph0,16,0.0,ground,glauber,0.6,90,14.656047
n16_graph0,16,0.0,ground,glauber,0.6,148,14.804492
n16_graph0,16,0.0,ground,glauber,0.6,245,14.890901
n16_graph0,16,0.0,ground,glauber,0.6,404,15.509111
n16_graph0,16,0.0,ground,glauber,0.6,667,15.535728
n16_graph0,16,0.0,ground,glauber,0.6,1101,15.975867
n16_graph0,16,0.0,ground,glauber,0.6,1816,16.021399
n16_graph0,16,0.0,ground,glauber,0.6,2995,16.183882
n16_graph0,16,0.0,ground,glauber,0.6,4939,16.168931
n16_graph0,16,0.0,ground,glauber,0.6,8146,16.093286
n16_graph0,16,0.0,ground,glauber,0.6,13435,16.004772
n16_graph0,16,0.0,ground,glauber,0.6,22158,15.961598
n16_graph0,16,0.0,ground,glauber,0.6,36543,16.069249
n16_graph0,16,0.0,ground,glauber,0.6,60268,16.033832
n16_graph0,16,0.0,ground,glauber,0.6,99395,16.026340
n16_graph0,16,0.0,ground,glauber,0.6,163925,16.018017
n16_graph0,16,0.0,ground,glauber,0.6,270347,16.021458
n16_graph0,16,0.0,ground,glauber,0.6,445860,16.027839
n16_graph0,16,0.0,ground,glauber,0.6,735319,16.024779
n16_graph0,16,0.0,ground,glauber,0.6,1212699,16.006119
n16_graph0,16,0.0,ground,glauber,0.6,2000000,16.004567
n16_graph0,16,0.0,ground,glauber,0.7,1,16.290355
n16_graph0,16,0.0,ground,glauber,0.7,2,16.300338
n16_graph0,16,0.0,ground,glauber,0.7,4,16.369832
n16_graph0,16,0.0,ground,glauber,0.7,7,17.072720
n16_graph0,16,0.0,ground,glauber,0.7,12,17.306043
n16_graph0,16,0.0,ground,glauber,0.7,20,16.595595
n16_graph0,16,0.0,ground,glauber,0.7,33,16.876801
n16_graph0,16,0.0,ground,glauber,0.7,54,17.131796
n16_graph0,16,0.0,ground,glauber,0.7,90,16.626109
n16_graph0,16,0.0,ground,glauber,0.7,148,16.778787
n16_graph0,16,0.0,ground,glauber,0.7,245,16.961524
n16_graph0,16,0.0,ground,glauber,0.7,404,17.617371
n16_graph0,16,0.0,ground,glauber,0.7,667,17.705135
n16_graph0,16,0.0,ground,glauber,0.7,1101,17.961015
n16_graph0,16,0.0,ground,glauber,0.7,1816,17.940812
n16_graph0,16,0.0,ground,glauber,0.7,2995,18.068093
n16_graph0,16,0.0,ground,glauber,0.7,4939,18.013695
n16_graph0,16,0.0,ground,glauber,0.7,8146,17.955879
n16_graph0,16,0.0,ground,glauber,0.7,13435,17.961068
n16_graph0,16,0.0,ground,glauber,0.7,22158,17.882119
n16_graph0,16,0.0,ground,glauber,0.7,36543,18.000588
n16_graph0,16,0.0,ground,glauber,0.7,60268,17.974934
n16_graph0,16,0.0,ground,glauber,0.7,99395,17.957179
n16_graph0,16,0.0,ground,glauber,0.7,163925,17.958455
n16_graph0,16,0.0,ground,glauber,0.7,270347,17.960008
n16_graph0,16,0.0,ground,glauber,0.7,445860,17.969648
n16_graph0,16,0.0,ground,glauber,0.7,735319,17.979053
n16_graph0,16,0.0,ground,glauber,0.7,1212699,17.957982
n16_graph0,16,0.0,ground,glauber,0.7,2000000,17.953681
n16_graph0,16,0.0,ground,glauber,0.8,1,18.690355
n16_graph0,16,0.0,ground,glauber,0.8,2,18.700338
n16_graph0,16,0.0,ground,glauber,0.8,4,18.769832
n16_graph0,16,0.0,ground,glauber,0.8,7,19.472720
n16_graph0,16,0.0,ground,glauber,0.8,12,19.706043
n16_graph0,16,0.0,ground,glauber,0.8,20,18.995595
n16_graph0,16,0.0,ground,glauber,0.8,33,19.276801
n16_graph0,16,0.0,ground,glauber,0.8,54,19.458691
n16_graph0,16,0.0,ground,glauber,0.8,90,18.824586
n16_graph0,16,0.0,ground,glauber,0.8,148,19.061142
n16_graph0,16,0.0,ground,glauber,0.8,245,19.243591
n16_graph0,16,0.0,ground,glauber,0.8,404,19.848770
n16_graph0,16,0.0,ground,glauber,0.8,667,19.983793
n16_graph0,16,0.0,ground,glauber,0.8,1101,20.152097
n16_graph0,16,0.0,ground,glauber,0.8,1816,20.061998
n16_graph0,16,0.0,ground,glauber,0.8,2995,20.184971
n16_graph0,16,0.0,ground,glauber,0.8,4939,20.180777
n16_graph0,16,0.0,ground,glauber,0.8,8146,20.129307
n16_graph0,16,0.0,ground,glauber,0.8,13435,20.137826
n16_graph0,16,0.0,ground,glauber,0.8,22158,20.073117
n16_graph0,16,0.0,ground,glauber,0.8,36543,20.191447
n16_graph0,16,0.0,ground,glauber,0.8,60268,20.170209
n16_graph0,16,0.0,ground,glauber,0.8,99395,20.147017
n16_graph0,16,0.0,ground,glauber,0.8,163925,20.132609
n16_graph0,16,0.0,ground,glauber,0.8,270347,20.129898
n16_graph0,16,0.0,ground,glauber,0.8,445860,20.139495
n16_graph0,16,0.0,ground,glauber,0.8,735319,20.149466
n16_graph0,16,0.0,ground,glauber,0.8,1212699,20.127428
n16_graph0,16,0.0,ground,glauber,0.8,2000000,20.122283
n16_graph0,16,0.0,ground,glauber,0.9,1,21.090355
n16_graph0,16,0.0,ground,glauber,0.9,2,21.100338
n16_graph0,16,0.0,ground,glauber,0.9,4,21.169832
n16_graph0,16,0.0,ground,glauber,0.9,7,21.872720
n16_graph0,16,0.0,ground,glauber,0.9,12,22.106043
n16_graph0,16,0.0,ground,glauber,0.9,20,21.395595
n16_graph0,16,0.0,ground,glauber,0.9,33,21.676801
n16_graph0,16,0.0,ground,glauber,0.9,54,21.858691
n16_graph0,16,0.0,ground,glauber,0.9,90,21.224586
n16_graph0,16,0.0,ground,glauber,0.9,148,21.461142
n16_graph0,16,0.0,ground,glauber,0.9,245,21.643591
n16_graph0,16,0.0,ground,glauber,0.9,404,22.218796
n16_graph0,16,0.0,ground,glauber,0.9,667,22.335306
n16_graph0,16,0.0,ground,glauber,0.9,1101,22.499563
n16_graph0,16,0.0,ground,glauber,0.9,1816,22.408925
n16_graph0,16,0.0,ground,glauber,0.9,2995,22.456644
n16_graph0,16,0.0,ground,glauber,0.9,4939,22.439708
n16_graph0,16,0.0,ground,glauber,0.9,8146,22.407620
n16_graph0,16,0.0,ground,glauber,0.9,13435,22.391579
n16_graph0,16,0.0,ground,glauber,0.9,22158,22.347471
n16_graph0,16,0.0,ground,glauber,0.9,36543,22.482337
n16_graph0,16,0.0,ground,glauber,0.9,60268,22.455198
n16_graph0,16,0.0,ground,glauber,0.9,99395,22.432842
n16_graph0,16,0.0,ground,glauber,0.9,163925,22.429852
n16_graph0,16,0.0,ground,glauber,0.9,270347,22.420168
n16_graph0,16,0.0,ground,glauber,0.9,445860,22.426605
n16_graph0,16,0.0,ground,glauber,0.9,735319,22.434245
n16_graph0,16,0.0,ground,glauber,0.9,1212699,22.412266
n16_graph0,16,0.0,ground,glauber,0.9,2000000,22.408596
n16_graph0,16,0.0,ground,glauber,1.0,1,23.490355
n16_graph0,16,0.0,ground,glauber,1.0,2,23.500338
n16_graph0,16,0.0,ground,glauber,1.0,4,23.569832
n16_graph0,16,0.0,ground,glauber,1.0,7,24.272720
n16_graph0,16,0.0,ground,glauber,1.0,12,24.506043
n16_graph0,16,0.0,ground,glauber,1.0,20,23.795595
n16_graph0,16,0.0,ground,glauber,1.0,33,24.076801
n16_graph0,16,0.0,ground,glauber,1.0,54,24.241840
n16_graph0,16,0.0,ground,glauber,1.0,90,23.604329
n16_graph0,16,0.0,ground,glauber,1.0,148,23.848873
n16_graph0,16,0.0,ground,glauber,1.0,245,24.036198
n16_graph0,16,0.0,ground,glauber,1.0,404,24.614319
n16_graph0,16,0.0,ground,glauber,1.0,667,24.690341
n16_graph0,16,0.0,ground,glauber,1.0,1101,24.858957
n16_graph0,16,0.0,ground,glauber,1.0,1816,24.766522
n16_graph0,16,0.0,ground,glauber,1.0,2995,24.829292
n16_graph0,16,0.0,ground,glauber,1.0,4939,24.810006
n16_graph0,16,0.0,ground,glauber,1.0,8146,24.762300
n16_graph0,16,0.0,ground,glauber,1.0,13435,24.728348
n16_graph0,16,0.0,ground,glauber,1.0,22158,24.690778
n16_graph0,16,0.0,ground,glauber,1.0,36543,24.831801
n16_graph0,16,0.0,ground,glauber,1.0,60268,24.802240
n16_graph0,16,0.0,ground,glauber,1.0,99395,24.781301
n16_graph0,16,0.0,ground,glauber,1.0,163925,24.775357
n16_graph0,16,0.0,ground,glauber,1.0,270347,24.766306
n16_graph0,16,0.0,ground,glauber,1.0,445860,24.772023
n16_graph0,16,0.0,ground,glauber,1.0,735319,24.776086
n16_graph0,16,0.0,ground,glauber,1.0,1212699,24.756298
n16_graph0,16,0.0,ground,glauber,1.0,2000000,24.752303
n16_graph0,16,0.0,ground,glauber,1.1,1,25.890355
n16_graph0,16,0.0,ground,glauber,1.1,2,25.900338
n16_graph0,16,0.0,ground,glauber,1.1,4,25.969832
n16_graph0,16,0.0,ground,glauber,1.1,7,26.672720
n16_graph0,16,0.0,ground,glauber,1.1,12,26.906043
n16_graph0,16,0.0,ground,glauber,1.1,20,26.195595
n16_graph0,16,0.0,ground,glauber,1.1,33,26.476801
n16_graph0,16,0.0,ground,glauber,1.1,54,26.641840
n16_graph0,16,0.0,ground,glauber,1.1,90,26.004329
n16_graph0,16,0.0,ground,glauber,1.1,148,26.248873
n16_graph0,16,0.0,ground,glauber,1.1,245,26.436198
n16_graph0,16,0.0,ground,glauber,1.1,404,27.014319
n16_graph0,16,0.0,ground,glauber,1.1,667,27.056113
n16_graph0,16,0.0,ground,glauber,1.1,1101,27.235009
n16_graph0,16,0.0,ground,glauber,1.1,1816,27.138621
n16_graph0,16,0.0,ground,glauber,1.1,2995,27.202924
n16_graph0,16,0.0,ground,glauber,1.1,4939,27.188485
n16_graph0,16,0.0,ground,glauber,1.1,8146,27.137025
n16_graph0,16,0.0,ground,glauber,1.1,13435,27.107820
n16_graph0,16,0.0,ground,glauber,1.1,22158,27.071659
n16_graph0,16,0.0,ground,glauber,1.1,36543,27.210046
n16_graph0,16,0.0,ground,glauber,1.1,60268,27.182076
n16_graph0,16,0.0,ground,glauber,1.1,99395,27.157571
n16_graph0,16,0.0,ground,glauber,1.1,163925,27.151956
n16_graph0,16,0.0,ground,glauber,1.1,270347,27.141108
n16_graph0,16,0.0,ground,glauber,1.1,445860,27.144638
n16_graph0,16,0.0,ground,glauber,1.1,735319,27.148246
n16_graph0,16,0.0,ground,glauber,1.1,1212699,27.128484
n16_graph0,16,0.0,ground,glauber,1.1,2000000,27.124618
n16_graph0,16,0.0,ground,glauber,1.2,1,28.290355
n16_graph0,16,0.0,ground,glauber,1.2,2,28.300338
n16_graph0,16,0.0,ground,glauber,1.2,4,28.369832
