graph_id,n,h,beta,ref_log_Z
n40_graph0,40,0.2,1.3,87.484566
n40_graph0,40,0.2,1.8,121.468879
n40_graph0,40,0.2,2.5,169.068106
n40_graph0,40,0.2,5.0,339.068106
n40_graph0,40,0.5,0.1,28.108141
n40_graph0,40,0.5,0.2,29.360521
n40_graph0,40,0.5,0.3,31.840198
n40_graph0,40,0.5,0.5,41.643821
n40_graph0,40,0.5,0.8,63.329905
n40_graph0,40,0.5,1.0,79.172102
n40_graph0,40,0.5,1.3,103.121515
n40_graph0,40,0.5,1.8,143.113783
n40_graph0,40,0.5,2.5,199.113641
n40_graph0,40,0.5,5.0,399.113641
n40_graph0,40,1.0,0.1,28.353752
n40_graph0,40,1.0,0.2,30.598014
n40_graph0,40,1.0,0.3,35.191397
n40_graph0,40,1.0,0.5,50.367818
n40_graph0,40,1.0,0.8,79.115729
n40_graph0,40,1.0,1.0,99.047666
n40_graph0,40,1.0,1.3,129.029817
n40_graph0,40,1.0,1.8,179.027135
n40_graph0,40,1.0,2.5,249.026931
n40_graph0,40,1.0,5.0,499.026931
n40_graph1,40,0.0,0.1,28.025164
n40_graph1,40,0.0,0.2,28.921010
n40_graph1,40,0.0,0.3,30.423169
n40_graph1,40,0.0,0.5,35.459881
n40_graph1,40,0.0,0.8,48.723009
n40_graph1,40,0.0,1.0,60.254168
n40_graph1,40,0.0,1.3,78.108058
n40_graph1,40,0.0,1.8,108.076340
n40_graph1,40,0.0,2.5,150.073969
n40_graph1,40,0.0,5.0,300.073969
n40_graph1,40,0.1,0.1,28.027639
n40_graph1,40,0.1,0.2,28.943055
n40_graph1,40,0.1,0.3,30.490155
n40_graph1,40,0.1,0.5,36.046454
n40_graph1,40,0.1,0.8,50.750622
n40_graph1,40,0.1,1.0,63.195228
n40_graph1,40,0.1,1.3,82.280050
n40_graph1,40,0.1,1.8,114.259055
n40_graph1,40,0.1,2.5,159.057797
n40_graph1,40,0.1,5.0,309.057797
n40_graph1,40,0.2,0.1,28.035050
n40_graph1,40,0.2,0.2,28.988984
n40_graph1,40,0.2,0.3,30.662191
n40_graph1,40,0.2,0.5,37.291146
n40_graph1,40,0.2,0.8,54.009267
n40_graph1,40,0.2,1.0,67.327951
n40_graph1,40,0.2,1.3,87.634638
n40_graph1,40,0.2,1.8,117.613172
n40_graph1,40,0.2,2.5,159.609592
n40_graph1,40,0.2,5.0,296.604550
n40_graph1,40,0.5,0.1,28.107470
n40_graph1,40,0.5,0.2,29.353861
n40_graph1,40,0.5,0.3,31.804281
n40_graph1,40,0.5,0.5,41.565606
n40_graph1,40,0.5,0.8,63.261484
n40_graph1,40,0.5,1.0,79.105468
n40_graph1,40,0.5,1.3,103.054891
n40_graph1,40,0.5,1.8,143.044983
n40_graph1,40,0.5,2.5,199.044709
n40_graph1,40,0.5,5.0,399.044709
n40_graph1,40,1.0,0.1,28.335686
n40_graph1,40,1.0,0.2,30.556926
n40_graph1,40,1.0,0.3,35.114834
n40_graph1,40,1.0,0.5,50.233688
n40_graph1,40,1.0,0.8,78.990566
n40_graph1,40,1.0,1.0,98.925629
n40_graph1,40,1.0,1.3,128.908458
n40_graph1,40,1.0,1.8,178.905460
n40_graph1,40,1.0,2.5,248.905393
n40_graph1,40,1.0,5.0,498.905393
