graph_id,n,h,beta,step,log_Z_running
n16_graph0,16,0.0,0.3,2,18.290355
n16_graph0,16,0.0,0.3,3,18.290355
n16_graph0,16,0.0,0.3,4,18.290355
n16_graph0,16,0.0,0.3,5,18.290355
n16_graph0,16,0.0,0.3,6,18.290355
n16_graph0,16,0.0,0.3,8,18.290355
n16_graph0,16,0.0,0.3,10,18.290355
n16_graph0,16,0.0,0.3,12,18.290355
n16_graph0,16,0.0,0.3,15,18.290355
n16_graph0,16,0.0,0.3,18,18.290355
n16_graph0,16,0.0,0.3,22,18.290355
n16_graph0,16,0.0,0.3,28,18.290355
n16_graph0,16,0.0,0.3,34,18.290355
n16_graph0,16,0.0,0.3,42,18.290355
n16_graph0,16,0.0,0.3,52,18.290355
n16_graph0,16,0.0,0.3,63,18.290355
n16_graph0,16,0.0,0.3,78,18.290355
n16_graph0,16,0.0,0.3,96,18.290355
n16_graph0,16,0.0,0.3,118,18.290355
n16_graph0,16,0.0,0.3,146,18.290355
n16_graph0,16,0.0,0.3,179,18.290355
n16_graph0,16,0.0,0.3,221,18.290355
n16_graph0,16,0.0,0.3,271,18.290355
n16_graph0,16,0.0,0.3,334,18.290355
n16_graph0,16,0.0,0.3,411,18.290355
n16_graph0,16,0.0,0.3,506,18.290355
n16_graph0,16,0.0,0.3,623,18.290355
n16_graph0,16,0.0,0.3,766,18.290355
n16_graph0,16,0.0,0.3,943,18.290355
n16_graph0,16,0.0,0.3,1161,18.290355
n16_graph0,16,0.0,0.3,1428,18.290355
n16_graph0,16,0.0,0.3,1758,18.290355
n16_graph0,16,0.0,0.3,2163,18.290355
n16_graph0,16,0.0,0.3,2662,18.290355
n16_graph0,16,0.0,0.3,3276,17.945909
n16_graph0,16,0.0,0.3,4032,17.893550
n16_graph0,16,0.0,0.3,4961,17.867178
n16_graph0,16,0.0,0.3,6106,17.881183
n16_graph0,16,0.0,0.3,7514,17.877060
n16_graph0,16,0.0,0.3,9247,17.874092
n16_graph0,16,0.0,0.3,11380,17.874549
n16_graph0,16,0.0,0.3,14005,17.877887
n16_graph0,16,0.0,0.3,17235,17.483342
n16_graph0,16,0.0,0.3,21211,17.472775
n16_graph0,16,0.0,0.3,26103,17.453795
n16_graph0,16,0.0,0.3,32124,17.016451
n16_graph0,16,0.0,0.3,39534,17.009248
n16_graph0,16,0.0,0.3,48653,16.564326
n16_graph0,16,0.0,0.3,59875,16.102003
n16_graph0,16,0.0,0.3,73685,15.645458
n16_graph0,16,0.0,0.3,90681,15.197499
n16_graph0,16,0.0,0.3,111597,14.297142
n16_graph0,16,0.0,0.3,137338,13.372919
n16_graph0,16,0.0,0.3,169016,12.800547
n16_graph0,16,0.0,0.3,208000,12.117968
n16_graph0,16,0.0,0.5,1,23.090355
n16_graph0,16,0.0,0.5,2,23.090355
n16_graph0,16,0.0,0.5,3,23.090355
n16_graph0,16,0.0,0.5,4,23.090355
n16_graph0,16,0.0,0.5,5,23.090355
n16_graph0,16,0.0,0.5,6,23.090355
n16_graph0,16,0.0,0.5,8,23.090355
n16_graph0,16,0.0,0.5,10,23.090355
n16_graph0,16,0.0,0.5,12,23.090355
n16_graph0,16,0.0,0.5,15,23.090355
n16_graph0,16,0.0,0.5,18,23.090355
n16_graph0,16,0.0,0.5,22,23.090355
n16_graph0,16,0.0,0.5,28,23.090355
n16_graph0,16,0.0,0.5,34,23.090355
n16_graph0,16,0.0,0.5,42,23.090355
n16_graph0,16,0.0,0.5,52,23.090355
n16_graph0,16,0.0,0.5,63,23.090355
n16_graph0,16,0.0,0.5,78,23.090355
n16_graph0,16,0.0,0.5,96,23.090355
n16_graph0,16,0.0,0.5,118,23.090355
n16_graph0,16,0.0,0.5,146,23.090355
n16_graph0,16,0.0,0.5,179,23.090355
n16_graph0,16,0.0,0.5,221,23.090355
n16_graph0,16,0.0,0.5,271,23.090355
n16_graph0,16,0.0,0.5,334,23.090355
n16_graph0,16,0.0,0.5,411,23.090355
