graph_id,n,h,beta,step_n_mult,samples_per_segment,n_segments,burnin,total_steps,log_Z,runtime_s
n16_graph0,16,0.0,0.8,4,10000,64,3000,832000,20.111512,13.3608
n16_graph0,16,0.0,0.8,20,100,320,3000,992000,20.259018,13.9631
n16_graph0,16,0.0,0.8,20,300,320,3000,1056000,20.167606,14.9581
n16_graph0,16,0.0,0.8,20,1000,320,3000,1280000,20.110638,19.7420
n16_graph0,16,0.0,0.8,20,3000,320,3000,1920000,20.256510,29.2033
n16_graph0,16,0.0,0.8,20,10000,320,3000,4160000,20.153317,77.3768
n16_graph0,16,0.0,1.0,1,100,16,3000,49600,26.218680,0.6506
n16_graph0,16,0.0,1.0,1,300,16,3000,52800,25.470177,0.7154
n16_graph0,16,0.0,1.0,1,1000,16,3000,64000,23.747946,0.9847
n16_graph0,16,0.0,1.0,1,3000,16,3000,96000,25.059681,1.4542
n16_graph0,16,0.0,1.0,1,10000,16,3000,208000,25.091652,3.4034
n16_graph0,16,0.0,1.0,4,100,64,3000,198400,24.739033,2.7777
n16_graph0,16,0.0,1.0,4,300,64,3000,211200,24.936796,2.9672
n16_graph0,16,0.0,1.0,4,1000,64,3000,256000,24.940021,3.6394
n16_graph0,16,0.0,1.0,4,3000,64,3000,384000,24.162330,5.6663
n16_graph0,16,0.0,1.0,4,10000,64,3000,832000,24.837154,12.2181
n16_graph0,16,0.0,1.0,20,100,320,3000,992000,24.668652,13.3083
n16_graph0,16,0.0,1.0,20,300,320,3000,1056000,24.954097,13.6106
n16_graph0,16,0.0,1.0,20,1000,320,3000,1280000,24.559744,18.2680
n16_graph0,16,0.0,1.0,20,3000,320,3000,1920000,24.707754,25.7141
n16_graph0,16,0.0,1.0,20,10000,320,3000,4160000,24.696080,62.1347
n16_graph0,16,0.0,1.3,1,100,16,3000,49600,33.412375,0.6041
n16_graph0,16,0.0,1.3,1,300,16,3000,52800,32.393870,0.6304
n16_graph0,16,0.0,1.3,1,1000,16,3000,64000,31.490337,0.7883
n16_graph0,16,0.0,1.3,1,3000,16,3000,96000,31.790874,1.3336
n16_graph0,16,0.0,1.3,1,10000,16,3000,208000,31.643927,3.1361
n16_graph0,16,0.0,1.3,4,100,64,3000,198400,30.112980,3.0118
n16_graph0,16,0.0,1.3,4,300,64,3000,211200,31.376715,2.9610
n16_graph0,16,0.0,1.3,4,1000,64,3000,256000,32.201222,3.9051
n16_graph0,16,0.0,1.3,4,3000,64,3000,384000,32.177380,6.9146
n16_graph0,16,0.0,1.3,4,10000,64,3000,832000,31.697858,13.9620
n16_graph0,16,0.0,1.3,20,100,320,3000,992000,30.734040,14.3651
n16_graph0,16,0.0,1.3,20,300,320,3000,1056000,32.208961,14.2955
n16_graph0,16,0.0,1.3,20,1000,320,3000,1280000,32.032940,19.2208
n16_graph0,16,0.0,1.3,20,3000,320,3000,1920000,32.053686,26.6489
n16_graph0,16,0.0,1.3,20,10000,320,3000,4160000,31.875510,60.1265
n16_graph0,16,0.0,1.8,1,100,16,3000,49600,44.971635,0.6684
n16_graph0,16,0.0,1.8,1,300,16,3000,52800,42.367834,0.6207
n16_graph0,16,0.0,1.8,1,1000,16,3000,64000,43.928003,0.7975
n16_graph0,16,0.0,1.8,1,3000,16,3000,96000,44.300013,1.5697
n16_graph0,16,0.0,1.8,1,10000,16,3000,208000,43.261892,3.3386
n16_graph0,16,0.0,1.8,4,100,64,3000,198400,44.635496,2.5247
n16_graph0,16,0.0,1.8,4,300,64,3000,211200,43.702165,2.8552
n16_graph0,16,0.0,1.8,4,1000,64,3000,256000,43.849953,3.8882
n16_graph0,16,0.0,1.8,4,3000,64,3000,384000,43.604236,5.9653
n16_graph0,16,0.0,1.8,4,10000,64,3000,832000,44.050599,12.3200
n16_graph0,16,0.0,1.8,20,100,320,3000,992000,43.867350,12.7763
n16_graph0,16,0.0,1.8,20,300,320,3000,1056000,43.879358,13.4414
n16_graph0,16,0.0,1.8,20,1000,320,3000,1280000,44.090908,17.9653
n16_graph0,16,0.0,1.8,20,3000,320,3000,1920000,43.896224,27.5215
n16_graph0,16,0.0,1.8,20,10000,320,3000,4160000,43.932619,62.6849
n16_graph0,16,0.0,2.5,1,100,16,3000,49600,61.301385,0.6792
n16_graph0,16,0.0,2.5,1,300,16,3000,52800,61.703419,0.6844
n16_graph0,16,0.0,2.5,1,1000,16,3000,64000,61.034420,0.8197
n16_graph0,16,0.0,2.5,1,3000,16,3000,96000,60.545353,1.3680
n16_graph0,16,0.0,2.5,1,10000,16,3000,208000,60.525224,2.9379
n16_graph0,16,0.0,2.5,4,100,64,3000,198400,59.228848,2.5885
n16_graph0,16,0.0,2.5,4,300,64,3000,211200,60.339933,2.7257
n16_graph0,16,0.0,2.5,4,1000,64,3000,256000,60.294992,3.4220
n16_graph0,16,0.0,2.5,4,3000,64,3000,384000,60.950372,5.6232
n16_graph0,16,0.0,2.5,4,10000,64,3000,832000,60.623797,12.7256
n16_graph0,16,0.0,2.5,20,100,320,3000,992000,60.442203,12.3435
n16_graph0,16,0.0,2.5,20,300,320,3000,1056000,60.713318,14.2108
n16_graph0,16,0.0,2.5,20,1000,320,3000,1280000,60.905385,16.8870
n16_graph0,16,0.0,2.5,20,3000,320,3000,1920000,60.683882,28.4160
n16_graph0,16,0.0,2.5,20,10000,320,3000,4160000,60.694330,63.4898
n16_graph0,16,0.0,5.0,1,100,16,3000,49600,121.228658,0.6503
n16_graph0,16,0.0,5.0,1,300,16,3000,52800,120.450261,0.6520
n16_graph0,16,0.0,5.0,1,1000,16,3000,64000,121.256832,0.8712
n16_graph0,16,0.0,5.0,1,3000,16,3000,96000,120.718850,1.6723
n16_graph0,16,0.0,5.0,1,10000,16,3000,208000,120.146071,3.1758
n16_graph0,16,0.0,5.0,4,100,64,3000,198400,121.213737,2.6701
n16_graph0,16,0.0,5.0,4,300,64,3000,211200,121.285832,3.0750
n16_graph0,16,0.0,5.0,4,1000,64,3000,256000,121.051793,3.4089
n16_graph0,16,0.0,5.0,4,3000,64,3000,384000,121.148649,5.5792
n16_graph0,16,0.0,5.0,4,10000,64,3000,832000,120.616764,15.3322
n16_graph0,16,0.0,5.0,20,100,320,3000,992000,120.280621,13.2941
n16_graph0,16,0.0,5.0,20,300,320,3000,1056000,120.723723,13.6382
n16_graph0,16,0.0,5.0,20,1000,320,3000,1280000,120.629572,16.9651
n16_graph0,16,0.0,5.0,20,3000,320,3000,1920000,120.615794,29.0226
