graph_id,n,h,beta,init,dynamics,step,log_z_mcmc
n16_graph0,16,0.0,1.3,ground,metropolis,9,37.968115
n16_graph0,16,0.0,1.8,ground,metropolis,9,49.968115
n16_graph0,16,0.0,2.5,ground,metropolis,9,66.768115
n16_graph0,16,0.0,5.0,ground,metropolis,9,126.768115
n16_graph0,16,0.0,0.1,ground,metropolis,10,11.770355
n16_graph0,16,0.0,0.2,ground,metropolis,10,13.620355
n16_graph0,16,0.0,0.3,ground,metropolis,10,15.590355
n16_graph0,16,0.0,0.5,ground,metropolis,10,19.110355
n16_graph0,16,0.0,0.8,ground,metropolis,10,25.590355
n16_graph0,16,0.0,1.0,ground,metropolis,10,30.390355
n16_graph0,16,0.0,1.3,ground,metropolis,10,37.590355
n16_graph0,16,0.0,1.8,ground,metropolis,10,49.590355
n16_graph0,16,0.0,2.5,ground,metropolis,10,66.390355
n16_graph0,16,0.0,5.0,ground,metropolis,10,126.390355
n16_graph0,16,0.0,0.1,ground,metropolis,11,11.708535
n16_graph0,16,0.0,0.2,ground,metropolis,11,13.472170
n16_graph0,16,0.0,0.3,ground,metropolis,11,15.363080
n16_graph0,16,0.0,0.5,ground,metropolis,11,18.763080
n16_graph0,16,0.0,0.8,ground,metropolis,11,25.226715
n16_graph0,16,0.0,1.0,ground,metropolis,11,30.026715
n16_graph0,16,0.0,1.3,ground,metropolis,11,37.226715
n16_graph0,16,0.0,1.8,ground,metropolis,11,49.226715
n16_graph0,16,0.0,2.5,ground,metropolis,11,66.026715
n16_graph0,16,0.0,5.0,ground,metropolis,11,126.026715
n16_graph0,16,0.0,0.1,ground,metropolis,12,11.632020
n16_graph0,16,0.0,0.2,ground,metropolis,12,13.323685
n16_graph0,16,0.0,0.3,ground,metropolis,12,15.173685
n16_graph0,16,0.0,0.5,ground,metropolis,12,18.473685
n16_graph0,16,0.0,0.8,ground,metropolis,12,24.923685
n16_graph0,16,0.0,1.0,ground,metropolis,12,29.723685
n16_graph0,16,0.0,1.3,ground,metropolis,12,36.923685
n16_graph0,16,0.0,1.8,ground,metropolis,12,48.923685
n16_graph0,16,0.0,2.5,ground,metropolis,12,65.723685
n16_graph0,16,0.0,5.0,ground,metropolis,12,125.723685
n16_graph0,16,0.0,0.1,ground,metropolis,13,11.590355
n16_graph0,16,0.0,0.2,ground,metropolis,13,13.221125
n16_graph0,16,0.0,0.3,ground,metropolis,13,15.021125
n16_graph0,16,0.0,0.5,ground,metropolis,13,18.251895
n16_graph0,16,0.0,0.8,ground,metropolis,13,24.690360
n16_graph0,16,0.0,1.0,ground,metropolis,13,29.490360
n16_graph0,16,0.0,1.3,ground,metropolis,13,36.690360
n16_graph0,16,0.0,1.8,ground,metropolis,13,48.690360
n16_graph0,16,0.0,2.5,ground,metropolis,13,65.490360
n16_graph0,16,0.0,5.0,ground,metropolis,13,125.490360
n16_graph0,16,0.0,0.1,ground,metropolis,15,11.530355
n16_graph0,16,0.0,0.2,ground,metropolis,15,13.030355
n16_graph0,16,0.0,0.3,ground,metropolis,15,14.670355
n16_graph0,16,0.0,0.5,ground,metropolis,15,17.710355
n16_graph0,16,0.0,0.8,ground,metropolis,15,24.130355
n16_graph0,16,0.0,1.0,ground,metropolis,15,28.930355
n16_graph0,16,0.0,1.3,ground,metropolis,15,36.130355
n16_graph0,16,0.0,1.8,ground,metropolis,15,48.130355
n16_graph0,16,0.0,2.5,ground,metropolis,15,64.930355
n16_graph0,16,0.0,5.0,ground,metropolis,15,124.930355
n16_graph0,16,0.0,0.1,ground,metropolis,17,11.508002
n16_graph0,16,0.0,0.2,ground,metropolis,17,12.925649
n16_graph0,16,0.0,0.3,ground,metropolis,17,14.431529
n16_graph0,16,0.0,0.5,ground,metropolis,17,17.313879
n16_graph0,16,0.0,0.8,ground,metropolis,17,23.719764
n16_graph0,16,0.0,1.0,ground,metropolis,17,28.519764
n16_graph0,16,0.0,1.3,ground,metropolis,17,35.719764
n16_graph0,16,0.0,1.8,ground,metropolis,17,47.719764
n16_graph0,16,0.0,2.5,ground,metropolis,17,64.519764
n16_graph0,16,0.0,5.0,ground,metropolis,17,124.519764
n16_graph0,16,0.0,0.1,ground,metropolis,19,11.495618
n16_graph0,16,0.0,0.2,ground,metropolis,19,12.848251
n16_graph0,16,0.0,0.3,ground,metropolis,19,14.264042
n16_graph0,16,0.0,0.5,ground,metropolis,19,17.064044
n16_graph0,16,0.0,0.8,ground,metropolis,19,23.458784
n16_graph0,16,0.0,1.0,ground,metropolis,19,28.258784
n16_graph0,16,0.0,1.3,ground,metropolis,19,35.458784
n16_graph0,16,0.0,1.8,ground,metropolis,19,47.458784
n16_graph0,16,0.0,2.5,ground,metropolis,19,64.258784
n16_graph0,16,0.0,5.0,ground,metropolis,19,124.258784
n16_graph0,16,0.0,0.1,ground,metropolis,21,11.499879
n16_graph0,16,0.0,0.2,ground,metropolis,21,12.809403
n16_graph0,16,0.0,0.3,ground,metropolis,21,14.166546
n16_graph0,16,0.0,0.5,ground,metropolis,21,16.937972
n16_graph0,16,0.0,0.8,ground,metropolis,21,23.280827
n16_graph0,16,0.0,1.0,ground,metropolis,21,28.052257
n16_graph0,16,0.0,1.3,ground,metropolis,21,35.252257
n16_graph0,16,0.0,1.8,ground,metropolis,21,47.252257
n16_graph0,16,0.0,2.5,ground,metropolis,21,64.052257
n16_graph0,16,0.0,5.0,ground,metropolis,21,124.052257
n16_graph0,16,0.0,0.1,ground,metropolis,23,11.512094
n16_graph0,16,0.0,0.2,ground,metropolis,23,12.768618
n16_graph0,16,0.0,0.3,ground,metropolis,23,14.038185
n16_graph0,16,0.0,0.5,ground,metropolis,23,16.759920
n16_graph0,16,0.0,0.8,ground,metropolis,23,23.020785
n16_graph0,16,0.0,1.0,ground,metropolis,23,27.742525
n16_graph0,16,0.0,1.3,ground,metropolis,23,34.942525
n16_graph0,16,0.0,1.8,ground,metropolis,23,46.942525
n16_graph0,16,0.0,2.5,ground,metropolis,23,63.742525
n16_graph0,16,0.0,5.0,ground,metropolis,23,123.742525
n16_graph0,16,0.0,0.1,ground,metropolis,26,11.498047
n16_graph0,16,0.0,0.2,ground,metropolis,26,12.659585
n16_graph0,16,0.0,0.3,ground,metropolis,26,13.836507
n16_graph0,16,0.0,0.5,ground,metropolis,26,16.528811
n16_graph0,16,0.0,0.8,ground,metropolis,26,22.690346
n16_graph0,16,0.0,1.0,ground,metropolis,26,27.351886
n16_graph0,16,0.0,1.3,ground,metropolis,26,34.551886
n16_graph0,16,0.0,1.8,ground,metropolis,26,46.551886
n16_graph0,16,0.0,2.5,ground,metropolis,26,63.351886
n16_graph0,16,0.0,5.0,ground,metropolis,26,123.351886
n16_graph0,16,0.0,0.1,ground,metropolis,29,11.476562
n16_graph0,16,0.0,0.2,ground,metropolis,29,12.586909
n16_graph0,16,0.0,0.3,ground,metropolis,29,13.711049
n16_graph0,16,0.0,0.5,ground,metropolis,29,16.352429
n16_graph0,16,0.0,0.8,ground,metropolis,29,22.435184
n16_graph0,16,0.0,1.0,ground,metropolis,29,27.048974
n16_graph0,16,0.0,1.3,ground,metropolis,29,34.248974
n16_graph0,16,0.0,1.8,ground,metropolis,29,46.248974
n16_graph0,16,0.0,2.5,ground,metropolis,29,63.048974
n16_graph0,16,0.0,5.0,ground,metropolis,29,123.048974
n16_graph0,16,0.0,0.1,ground,metropolis,32,11.418480
n16_graph0,16,0.0,0.2,ground,metropolis,32,12.437230
n16_graph0,16,0.0,0.3,ground,metropolis,32,13.471605
n16_graph0,16,0.0,0.5,ground,metropolis,32,16.052855
n16_graph0,16,0.0,0.8,ground,metropolis,32,22.155980
n16_graph0,16,0.0,1.0,ground,metropolis,32,26.730980
n16_graph0,16,0.0,1.3,ground,metropolis,32,33.930980
n16_graph0,16,0.0,1.8,ground,metropolis,32,45.930980
n16_graph0,16,0.0,2.5,ground,metropolis,32,62.730980
n16_graph0,16,0.0,5.0,ground,metropolis,32,122.730980
n16_graph0,16,0.0,0.1,ground,metropolis,36,11.370910
n16_graph0,16,0.0,0.2,ground,metropolis,36,12.301466
n16_graph0,16,0.0,0.3,ground,metropolis,36,13.265355
n16_graph0,16,0.0,0.5,ground,metropolis,36,15.776463
n16_graph0,16,0.0,0.8,ground,metropolis,36,21.776463
n16_graph0,16,0.0,1.0,ground,metropolis,36,26.293133
n16_graph0,16,0.0,1.3,ground,metropolis,36,33.493133
n16_graph0,16,0.0,1.8,ground,metropolis,36,45.493133
n16_graph0,16,0.0,2.5,ground,metropolis,36,62.293133
n16_graph0,16,0.0,5.0,ground,metropolis,36,122.293133
n16_graph0,16,0.0,0.1,ground,metropolis,40,11.302855
n16_graph0,16,0.0,0.2,ground,metropolis,40,12.142855
n16_graph0,16,0.0,0.3,ground,metropolis,40,13.092855
n16_graph0,16,0.0,0.5,ground,metropolis,40,15.537855
n16_graph0,16,0.0,0.8,ground,metropolis,40,21.335355
n16_graph0,16,0.0,1.0,ground,metropolis,40,25.800355
n16_graph0,16,0.0,1.3,ground,metropolis,40,33.000355
n16_graph0,16,0.0,1.8,ground,metropolis,40,45.000355
n16_graph0,16,0.0,2.5,ground,metropolis,40,61.800355
n16_graph0,16,0.0,5.0,ground,metropolis,40,121.800355
n16_graph0,16,0.0,0.1,ground,metropolis,44,11.251718
n16_graph0,16,0.0,0.2,ground,metropolis,44,12.035807
n16_graph0,16,0.0,0.3,ground,metropolis,44,12.990350
n16_graph0,16,0.0,0.5,ground,metropolis,44,15.376716
n16_graph0,16,0.0,0.8,ground,metropolis,44,21.001716
n16_graph0,16,0.0,1.0,ground,metropolis,44,25.428986
n16_graph0,16,0.0,1.3,ground,metropolis,44,32.628986
n16_graph0,16,0.0,1.8,ground,metropolis,44,44.628986
n16_graph0,16,0.0,2.5,ground,metropolis,44,61.428986
n16_graph0,16,0.0,5.0,ground,metropolis,44,121.428986
n16_graph0,16,0.0,0.1,ground,metropolis,50,11.194355
n16_graph0,16,0.0,0.2,ground,metropolis,50,11.914355
n16_graph0,16,0.0,0.3,ground,metropolis,50,12.870355
n16_graph0,16,0.0,0.5,ground,metropolis,50,15.186355
n16_graph0,16,0.0,0.8,ground,metropolis,50,20.640355
n16_graph0,16,0.0,1.0,ground,metropolis,50,25.040355
n16_graph0,16,0.0,1.3,ground,metropolis,50,32.240355
n16_graph0,16,0.0,1.8,ground,metropolis,50,44.240355
n16_graph0,16,0.0,2.5,ground,metropolis,50,61.040355
n16_graph0,16,0.0,5.0,ground,metropolis,50,121.040355
n16_graph0,16,0.0,0.1,ground,metropolis,55,11.163082
n16_graph0,16,0.0,0.2,ground,metropolis,55,11.823085
n16_graph0,16,0.0,0.3,ground,metropolis,55,12.741269
n16_graph0,16,0.0,0.5,ground,metropolis,55,14.995817
n16_graph0,16,0.0,0.8,ground,metropolis,55,20.357642
n16_graph0,16,0.0,1.0,ground,metropolis,55,24.739462
n16_graph0,16,0.0,1.3,ground,metropolis,55,31.939462
n16_graph0,16,0.0,1.8,ground,metropolis,55,43.939462
n16_graph0,16,0.0,2.5,ground,metropolis,55,60.739462
n16_graph0,16,0.0,5.0,ground,metropolis,55,120.739462
n16_graph0,16,0.0,0.1,ground,metropolis,62,11.164548
n16_graph0,16,0.0,0.2,ground,metropolis,62,11.811322
n16_graph0,16,0.0,0.3,ground,metropolis,62,12.687128
n16_graph0,16,0.0,0.5,ground,metropolis,62,14.909710
n16_graph0,16,0.0,0.8,ground,metropolis,62,20.275840
n16_graph0,16,0.0,1.0,ground,metropolis,62,24.637130
n16_graph0,16,0.0,1.3,ground,metropolis,62,31.837130
n16_graph0,16,0.0,1.8,ground,metropolis,62,43.837130
n16_graph0,16,0.0,2.5,ground,metropolis,62,60.637130
n16_graph0,16,0.0,5.0,ground,metropolis,62,120.637130
n16_graph0,16,0.0,0.1,ground,metropolis,69,11.155572
n16_graph0,16,0.0,0.2,ground,metropolis,69,11.777310
n16_graph0,16,0.0,0.3,ground,metropolis,69,12.649772
n16_graph0,16,0.0,0.5,ground,metropolis,69,14.916436
n16_graph0,16,0.0,0.8,ground,metropolis,69,20.286001
n16_graph0,16,0.0,1.0,ground,metropolis,69,24.630931
n16_graph0,16,0.0,1.3,ground,metropolis,69,31.830931
n16_graph0,16,0.0,1.8,ground,metropolis,69,43.830931
n16_graph0,16,0.0,2.5,ground,metropolis,69,60.630931
n16_graph0,16,0.0,5.0,ground,metropolis,69,120.630931
n16_graph0,16,0.0,0.1,ground,metropolis,76,11.154828
n16_graph0,16,0.0,0.2,ground,metropolis,76,11.742987
n16_graph0,16,0.0,0.3,ground,metropolis,76,12.569303
n16_graph0,16,0.0,0.5,ground,metropolis,76,14.824566
n16_graph0,16,0.0,0.8,ground,metropolis,76,20.196936
n16_graph0,16,0.0,1.0,ground,metropolis,76,24.528516
n16_graph0,16,0.0,1.3,ground,metropolis,76,31.728516
n16_graph0,16,0.0,1.8,ground,metropolis,76,43.728516
