graph_id,n,h,init,dynamics,beta,step,log_Z
n16_graph0,16,0.0,ground,metropolis,0.3,99450,12.199807
n16_graph0,16,0.0,ground,metropolis,0.3,150000,12.208094
n16_graph0,16,0.0,ground,metropolis,0.5,1,9.690355
n16_graph0,16,0.0,ground,metropolis,0.5,2,9.805330
n16_graph0,16,0.0,ground,metropolis,0.5,3,10.136686
n16_graph0,16,0.0,ground,metropolis,0.5,5,10.588694
n16_graph0,16,0.0,ground,metropolis,0.5,7,11.104463
n16_graph0,16,0.0,ground,metropolis,0.5,11,11.302528
n16_graph0,16,0.0,ground,metropolis,0.5,17,11.498252
n16_graph0,16,0.0,ground,metropolis,0.5,26,12.232637
n16_graph0,16,0.0,ground,metropolis,0.5,40,12.734028
n16_graph0,16,0.0,ground,metropolis,0.5,60,12.893809
n16_graph0,16,0.0,ground,metropolis,0.5,91,12.874057
n16_graph0,16,0.0,ground,metropolis,0.5,138,13.010310
n16_graph0,16,0.0,ground,metropolis,0.5,209,13.400094
n16_graph0,16,0.0,ground,metropolis,0.5,315,13.416542
n16_graph0,16,0.0,ground,metropolis,0.5,475,14.039111
n16_graph0,16,0.0,ground,metropolis,0.5,717,14.080427
n16_graph0,16,0.0,ground,metropolis,0.5,1082,13.987535
n16_graph0,16,0.0,ground,metropolis,0.5,1632,14.140171
n16_graph0,16,0.0,ground,metropolis,0.5,2461,14.273583
n16_graph0,16,0.0,ground,metropolis,0.5,3712,14.240800
n16_graph0,16,0.0,ground,metropolis,0.5,5600,14.324828
n16_graph0,16,0.0,ground,metropolis,0.5,8446,14.358158
n16_graph0,16,0.0,ground,metropolis,0.5,12740,14.378308
n16_graph0,16,0.0,ground,metropolis,0.5,19215,14.279135
n16_graph0,16,0.0,ground,metropolis,0.5,28983,14.345701
n16_graph0,16,0.0,ground,metropolis,0.5,43715,14.331471
n16_graph0,16,0.0,ground,metropolis,0.5,65935,14.356016
n16_graph0,16,0.0,ground,metropolis,0.5,99450,14.367517
n16_graph0,16,0.0,ground,metropolis,0.5,150000,14.386505
n16_graph0,16,0.0,ground,metropolis,0.8,1,12.090355
n16_graph0,16,0.0,ground,metropolis,0.8,2,12.205330
n16_graph0,16,0.0,ground,metropolis,0.8,3,12.536686
n16_graph0,16,0.0,ground,metropolis,0.8,5,13.273006
n16_graph0,16,0.0,ground,metropolis,0.8,7,13.889577
n16_graph0,16,0.0,ground,metropolis,0.8,11,13.989715
n16_graph0,16,0.0,ground,metropolis,0.8,17,14.274672
n16_graph0,16,0.0,ground,metropolis,0.8,26,14.926534
n16_graph0,16,0.0,ground,metropolis,0.8,40,15.452637
n16_graph0,16,0.0,ground,metropolis,0.8,60,15.620918
n16_graph0,16,0.0,ground,metropolis,0.8,91,16.085512
n16_graph0,16,0.0,ground,metropolis,0.8,138,16.457834
n16_graph0,16,0.0,ground,metropolis,0.8,209,16.637595
n16_graph0,16,0.0,ground,metropolis,0.8,315,17.404882
n16_graph0,16,0.0,ground,metropolis,0.8,475,18.295291
n16_graph0,16,0.0,ground,metropolis,0.8,717,18.370063
n16_graph0,16,0.0,ground,metropolis,0.8,1082,19.725368
n16_graph0,16,0.0,ground,metropolis,0.8,1632,20.097280
n16_graph0,16,0.0,ground,metropolis,0.8,2461,19.948406
n16_graph0,16,0.0,ground,metropolis,0.8,3712,19.840086
n16_graph0,16,0.0,ground,metropolis,0.8,5600,19.954137
n16_graph0,16,0.0,ground,metropolis,0.8,8446,20.080833
n16_graph0,16,0.0,ground,metropolis,0.8,12740,20.094733
n16_graph0,16,0.0,ground,metropolis,0.8,19215,19.929033
n16_graph0,16,0.0,ground,metropolis,0.8,28983,20.045980
n16_graph0,16,0.0,ground,metropolis,0.8,43715,20.083840
n16_graph0,16,0.0,ground,metropolis,0.8,65935,20.132628
n16_graph0,16,0.0,ground,metropolis,0.8,99450,20.112209
n16_graph0,16,0.0,ground,metropolis,0.8,150000,20.169945
n16_graph0,16,0.0,ground,metropolis,1.0,1,16.890355
n16_graph0,16,0.0,ground,metropolis,1.0,2,17.005330
n16_graph0,16,0.0,ground,metropolis,1.0,3,17.336686
n16_graph0,16,0.0,ground,metropolis,1.0,5,18.073006
n16_graph0,16,0.0,ground,metropolis,1.0,7,18.689577
n16_graph0,16,0.0,ground,metropolis,1.0,11,18.789715
n16_graph0,16,0.0,ground,metropolis,1.0,17,19.074672
n16_graph0,16,0.0,ground,metropolis,1.0,26,19.726534
n16_graph0,16,0.0,ground,metropolis,1.0,40,20.252637
n16_graph0,16,0.0,ground,metropolis,1.0,60,20.420918
n16_graph0,16,0.0,ground,metropolis,1.0,91,20.885512
n16_graph0,16,0.0,ground,metropolis,1.0,138,21.257834
n16_graph0,16,0.0,ground,metropolis,1.0,209,21.243580
n16_graph0,16,0.0,ground,metropolis,1.0,315,22.038295
n16_graph0,16,0.0,ground,metropolis,1.0,475,22.945192
n16_graph0,16,0.0,ground,metropolis,1.0,717,23.066720
n16_graph0,16,0.0,ground,metropolis,1.0,1082,24.270710
n16_graph0,16,0.0,ground,metropolis,1.0,1632,24.686364
n16_graph0,16,0.0,ground,metropolis,1.0,2461,24.583400
n16_graph0,16,0.0,ground,metropolis,1.0,3712,24.457678
n16_graph0,16,0.0,ground,metropolis,1.0,5600,24.537806
n16_graph0,16,0.0,ground,metropolis,1.0,8446,24.652765
n16_graph0,16,0.0,ground,metropolis,1.0,12740,24.683973
n16_graph0,16,0.0,ground,metropolis,1.0,19215,24.549337
n16_graph0,16,0.0,ground,metropolis,1.0,28983,24.655221
n16_graph0,16,0.0,ground,metropolis,1.0,43715,24.714935
n16_graph0,16,0.0,ground,metropolis,1.0,65935,24.768634
n16_graph0,16,0.0,ground,metropolis,1.0,99450,24.742919
n16_graph0,16,0.0,ground,metropolis,1.0,150000,24.789013
n16_graph0,16,0.0,ground,metropolis,1.3,1,24.090355
n16_graph0,16,0.0,ground,metropolis,1.3,2,24.205330
n16_graph0,16,0.0,ground,metropolis,1.3,3,24.536686
n16_graph0,16,0.0,ground,metropolis,1.3,5,25.273006
n16_graph0,16,0.0,ground,metropolis,1.3,7,25.889577
n16_graph0,16,0.0,ground,metropolis,1.3,11,25.989715
n16_graph0,16,0.0,ground,metropolis,1.3,17,26.274672
n16_graph0,16,0.0,ground,metropolis,1.3,26,26.926534
n16_graph0,16,0.0,ground,metropolis,1.3,40,27.452637
n16_graph0,16,0.0,ground,metropolis,1.3,60,27.620918
n16_graph0,16,0.0,ground,metropolis,1.3,91,28.085512
n16_graph0,16,0.0,ground,metropolis,1.3,138,28.457834
n16_graph0,16,0.0,ground,metropolis,1.3,209,28.443580
n16_graph0,16,0.0,ground,metropolis,1.3,315,29.238295
n16_graph0,16,0.0,ground,metropolis,1.3,475,30.132815
n16_graph0,16,0.0,ground,metropolis,1.3,717,30.258537
n16_graph0,16,0.0,ground,metropolis,1.3,1082,31.465295
n16_graph0,16,0.0,ground,metropolis,1.3,1632,31.868821
n16_graph0,16,0.0,ground,metropolis,1.3,2461,31.764131
n16_graph0,16,0.0,ground,metropolis,1.3,3712,31.623071
n16_graph0,16,0.0,ground,metropolis,1.3,5600,31.707333
n16_graph0,16,0.0,ground,metropolis,1.3,8446,31.816876
n16_graph0,16,0.0,ground,metropolis,1.3,12740,31.836651
n16_graph0,16,0.0,ground,metropolis,1.3,19215,31.708197
n16_graph0,16,0.0,ground,metropolis,1.3,28983,31.801142
n16_graph0,16,0.0,ground,metropolis,1.3,43715,31.862896
n16_graph0,16,0.0,ground,metropolis,1.3,65935,31.920858
n16_graph0,16,0.0,ground,metropolis,1.3,99450,31.891116
n16_graph0,16,0.0,ground,metropolis,1.3,150000,31.940044
n16_graph0,16,0.0,ground,metropolis,1.8,1,36.090355
n16_graph0,16,0.0,ground,metropolis,1.8,2,36.205330
n16_graph0,16,0.0,ground,metropolis,1.8,3,36.536686
n16_graph0,16,0.0,ground,metropolis,1.8,5,37.273006
n16_graph0,16,0.0,ground,metropolis,1.8,7,37.889577
n16_graph0,16,0.0,ground,metropolis,1.8,11,37.989715
n16_graph0,16,0.0,ground,metropolis,1.8,17,38.274672
n16_graph0,16,0.0,ground,metropolis,1.8,26,38.926534
n16_graph0,16,0.0,ground,metropolis,1.8,40,39.452637
n16_graph0,16,0.0,ground,metropolis,1.8,60,39.620918
n16_graph0,16,0.0,ground,metropolis,1.8,91,40.085512
n16_graph0,16,0.0,ground,metropolis,1.8,138,40.457834
n16_graph0,16,0.0,ground,metropolis,1.8,209,40.443580
n16_graph0,16,0.0,ground,metropolis,1.8,315,41.238295
n16_graph0,16,0.0,ground,metropolis,1.8,475,42.132815
n16_graph0,16,0.0,ground,metropolis,1.8,717,42.258537
n16_graph0,16,0.0,ground,metropolis,1.8,1082,43.465295
n16_graph0,16,0.0,ground,metropolis,1.8,1632,43.868821
n16_graph0,16,0.0,ground,metropolis,1.8,2461,43.764131
n16_graph0,16,0.0,ground,metropolis,1.8,3712,43.612261
n16_graph0,16,0.0,ground,metropolis,1.8,5600,43.697932
n16_graph0,16,0.0,ground,metropolis,1.8,8446,43.810652
n16_graph0,16,0.0,ground,metropolis,1.8,12740,43.831480
n16_graph0,16,0.0,ground,metropolis,1.8,19215,43.703282
n16_graph0,16,0.0,ground,metropolis,1.8,28983,43.796102
n16_graph0,16,0.0,ground,metropolis,1.8,43715,43.858750
n16_graph0,16,0.0,ground,metropolis,1.8,65935,43.907678
n16_graph0,16,0.0,ground,metropolis,1.8,99450,43.879608
n16_graph0,16,0.0,ground,metropolis,1.8,150000,43.930855
n16_graph0,16,0.0,ground,metropolis,2.5,1,52.890355
n16_graph0,16,0.0,ground,metropolis,2.5,2,53.005330
n16_graph0,16,0.0,ground,metropolis,2.5,3,53.336686
n16_graph0,16,0.0,ground,metropolis,2.5,5,54.073006
n16_graph0,16,0.0,ground,metropolis,2.5,7,54.689577
n16_graph0,16,0.0,ground,metropolis,2.5,11,54.789715
n16_graph0,16,0.0,ground,metropolis,2.5,17,55.074672
n16_graph0,16,0.0,ground,metropolis,2.5,26,55.726534
n16_graph0,16,0.0,ground,metropolis,2.5,40,56.252637
n16_graph0,16,0.0,ground,metropolis,2.5,60,56.420918
n16_graph0,16,0.0,ground,metropolis,2.5,91,56.885512
n16_graph0,16,0.0,ground,metropolis,2.5,138,57.257834
n16_graph0,16,0.0,ground,metropolis,2.5,209,57.243580
n16_graph0,16,0.0,ground,metropolis,2.5,315,58.038295
n16_graph0,16,0.0,ground,metropolis,2.5,475,58.932815
n16_graph0,16,0.0,ground,metropolis,2.5,717,59.058537
n16_graph0,16,0.0,ground,metropolis,2.5,1082,60.265295
n16_graph0,16,0.0,ground,metropolis,2.5,1632,60.668821
n16_graph0,16,0.0,ground,metropolis,2.5,2461,60.564131
n16_graph0,16,0.0,ground,metropolis,2.5,3712,60.412261
n16_graph0,16,0.0,ground,metropolis,2.5,5600,60.497932
n16_graph0,16,0.0,ground,metropolis,2.5,8446,60.610652
n16_graph0,16,0.0,ground,metropolis,2.5,12740,60.631480
n16_graph0,16,0.0,ground,metropolis,2.5,19215,60.503282
n16_graph0,16,0.0,ground,metropolis,2.5,28983,60.596102
n16_graph0,16,0.0,ground,metropolis,2.5,43715,60.658750
n16_graph0,16,0.0,ground,metropolis,2.5,65935,60.707678
n16_graph0,16,0.0,ground,metropolis,2.5,99450,60.679301
n16_graph0,16,0.0,ground,metropolis,2.5,150000,60.730651
n16_graph0,16,0.0,ground,metropolis,5.0,1,112.890355
n16_graph0,16,0.0,ground,metropolis,5.0,2,113.005330
n16_graph0,16,0.0,ground,metropolis,5.0,3,113.336686
n16_graph0,16,0.0,ground,metropolis,5.0,5,114.073006
n16_graph0,16,0.0,ground,metropolis,5.0,7,114.689577
n16_graph0,16,0.0,ground,metropolis,5.0,11,114.789715
n16_graph0,16,0.0,ground,metropolis,5.0,17,115.074672
n16_graph0,16,0.0,ground,metropolis,5.0,26,115.726534
n16_graph0,16,0.0,ground,metropolis,5.0,40,116.252637
n16_graph0,16,0.0,ground,metropolis,5.0,60,116.420918
n16_graph0,16,0.0,ground,metropolis,5.0,91,116.885512
n16_graph0,16,0.0,ground,metropolis,5.0,138,117.257834
n16_graph0,16,0.0,ground,metropolis,5.0,209,117.243580
n16_graph0,16,0.0,ground,metropolis,5.0,315,118.038295
n16_graph0,16,0.0,ground,metropolis,5.0,475,118.932815
n16_graph0,16,0.0,ground,metropolis,5.0,717,119.058537
n16_graph0,16,0.0,ground,metropolis,5.0,1082,120.265295
n16_graph0,16,0.0,ground,metropolis,5.0,1632,120.668821
n16_graph0,16,0.0,ground,metropolis,5.0,2461,120.564131
n16_graph0,16,0.0,ground,metropolis,5.0,3712,120.412261
n16_graph0,16,0.0,ground,metropolis,5.0,5600,120.497932
n16_graph0,16,0.0,ground,metropolis,5.0,8446,120.610652
n16_graph0,16,0.0,ground,metropolis,5.0,12740,120.631480
n16_graph0,16,0.0,ground,metropolis,5.0,19215,120.503282
n16_graph0,16,0.0,ground,metropolis,5.0,28983,120.596102
n16_graph0,16,0.0,ground,metropolis,5.0,43715,120.658750
n16_graph0,16,0.0,ground,metropolis,5.0,65935,120.707678
n16_graph0,16,0.0,ground,metropolis,5.0,99450,120.679301
n16_graph0,16,0.0,ground,metropolis,5.0,150000,120.730651
n16_graph0,16,0.0,ground,glauber,0.1,1,11.090355
n16_graph0,16,0.0,ground,glauber,0.1,2,11.090355
n16_graph0,16,0.0,ground,glauber,0.1,3,11.028029
n16_graph0,16,0.0,ground,glauber,0.1,5,10.941340
n16_graph0,16,0.0,ground,glauber,0.1,7,10.901756
n16_graph0,16,0.0,ground,glauber,0.1,11,10.996867
n16_graph0,16,0.0,ground,glauber,0.1,17,11.058138
n16_graph0,16,0.0,ground,glauber,0.1,26,11.047818
n16_graph0,16,0.0,ground,glauber,0.1,40,11.069081
n16_graph0,16,0.0,ground,glauber,0.1,60,11.057606
n16_graph0,16,0.0,ground,glauber,0.1,91,11.295150
n16_graph0,16,0.0,ground,glauber,0.1,138,11.479922
n16_graph0,16,0.0,ground,glauber,0.1,209,11.460922
n16_graph0,16,0.0,ground,glauber,0.1,315,11.372673
n16_graph0,16,0.0,ground,glauber,0.1,475,11.343265
n16_graph0,16,0.0,ground,glauber,0.1,717,11.275985
n16_graph0,16,0.0,ground,glauber,0.1,1082,11.271691
n16_graph0,16,0.0,ground,glauber,0.1,1632,11.286467
n16_graph0,16,0.0,ground,glauber,0.1,2461,11.250339
n16_graph0,16,0.0,ground,glauber,0.1,3712,11.228762
n16_graph0,16,0.0,ground,glauber,0.1,5600,11.224930
n16_graph0,16,0.0,ground,glauber,0.1,8446,11.216020
n16_graph0,16,0.0,ground,glauber,0.1,12740,11.214221
n16_graph0,16,0.0,ground,glauber,0.1,19215,11.210071
n16_graph0,16,0.0,ground,glauber,0.1,28983,11.205539
n16_graph0,16,0.0,ground,glauber,0.1,43715,11.199367
n16_graph0,16,0.0,ground,glauber,0.1,65935,11.204482
n16_graph0,16,0.0,ground,glauber,0.1,99450,11.208822
n16_graph0,16,0.0,ground,glauber,0.1,150000,11.206378
n16_graph0,16,0.0,ground,glauber,0.2,1,11.290355
n16_graph0,16,0.0,ground,glauber,0.2,2,11.290355
n16_graph0,16,0.0,ground,glauber,0.2,3,11.165704
n16_graph0,16,0.0,ground,glauber,0.2,5,11.166869
n16_graph0,16,0.0,ground,glauber,0.2,7,11.465716
n16_graph0,16,0.0,ground,glauber,0.2,11,11.680310
n16_graph0,16,0.0,ground,glauber,0.2,17,11.619927
n16_graph0,16,0.0,ground,glauber,0.2,26,11.448430
n16_graph0,16,0.0,ground,glauber,0.2,40,11.462813
n16_graph0,16,0.0,ground,glauber,0.2,60,11.574872
n16_graph0,16,0.0,ground,glauber,0.2,91,11.811530
n16_graph0,16,0.0,ground,glauber,0.2,138,11.819630
n16_graph0,16,0.0,ground,glauber,0.2,209,11.637468
n16_graph0,16,0.0,ground,glauber,0.2,315,11.682946
n16_graph0,16,0.0,ground,glauber,0.2,475,11.608554
n16_graph0,16,0.0,ground,glauber,0.2,717,11.548308
n16_graph0,16,0.0,ground,glauber,0.2,1082,11.563907
n16_graph0,16,0.0,ground,glauber,0.2,1632,11.621747
n16_graph0,16,0.0,ground,glauber,0.2,2461,11.611026
n16_graph0,16,0.0,ground,glauber,0.2,3712,11.623940
n16_graph0,16,0.0,ground,glauber,0.2,5600,11.594333
n16_graph0,16,0.0,ground,glauber,0.2,8446,11.593646
